Transcripts	CT1	CT2	CT3	LT20_1	LT20_2	LT20_3	LT15_1	LT15_2	LT15_3	LT12_1	LT12_2	LT12_3	LT12_6_1	LT12_6_2	LT12_6_3
transcript_1177	31.45	173.95	1057.2	269.78	0.12	319.96	0.26	29.83	8.6	0.14	1591.66	0.33	0.18	64.17	1456.61
transcript_1178	5.27	12.03	6.07	4.89	7.05	4.83	15.86	5.46	4.84	7.24	7.4	4.51	5.03	3.68	4.94
transcript_1179	37.01	24.92	32.68	33.79	17.02	19.6	17.74	21.15	25.25	30.68	17.52	20.1	23.73	20.82	29.47
transcript_118	0	510.83	505.21	0	0	0	0	0	393.66	0	298.14	0	0	0	334.44
transcript_1180	37.57	46.65	43.35	44.88	68.04	60.88	53.55	63.56	50.27	42.87	70.8	36.87	69.44	51.05	36.67
transcript_1181	32.23	33.1	35.91	30.81	37.93	34	29.44	28.74	27.66	22.72	30.63	30.39	21.22	22.33	27.41
transcript_1182	25.65	43.66	45.31	44.29	91.76	73.68	56.12	33.14	35.68	62.78	44.63	93.53	64.62	66.16	26.8
transcript_1183	7.25	9.29	9.67	8.05	9.19	10.16	12.53	9.59	9.13	9.38	11.87	7.81	17.26	6.86	8.86
transcript_1184	28.73	33.19	22.21	9.39	13.6	20.69	31.1	12.89	22.49	16.38	20.42	11.19	25.5	13.32	13.52
transcript_1185	11.32	14.2	19.87	14.04	11.36	10.17	10.95	10.92	11.13	12.32	8.79	9.44	6.76	8.38	9.04
transcript_1187	11.07	14.78	15.4	13.85	15.19	12.73	21.66	16.15	18.23	22.19	18.82	21.79	19.9	17.7	22.79
transcript_1188	6.91	9.36	8.82	8.31	6.71	7.05	6.54	6.78	9.94	8.71	10.66	7.44	7.92	6.13	8.58
transcript_1189	0.32	1.27	0.47	0.79	0.73	2.66	0	0.3	1.4	7.09	0.67	0.84	0.16	0.13	1
transcript_119	0.03	0	0	0	31.18	0	11.79	0	0	12.2	22.7	1.04	8.68	0	0
transcript_1190	5.71	6.36	5.29	5.13	3.86	4.85	5.63	5.46	5.55	6.94	5.65	5.83	5.95	4	5.48
transcript_1192	12.13	14.81	16.47	14.61	15.82	16.14	14.92	14.76	15.38	19.05	16.39	14.51	14.88	16.83	17.11
